id,title,revenue,vote_average,imdb_id,original_title,overview,popularity,poster_path,genres,keywords
76492,Hotel Transylvania,358375603,6.958,tt0837562,Hotel Transylvania,"Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!",10.778,/3sKT6vtydJ4DkTJtdP5pvfpPa0n.jpg,"Animation, Comedy, Family, Fantasy","hotel, witch, vampire, romance, love, zombie, invisible person, duringcreditsstinger, nosferatu, protective father, magical creature, philosophical, father daughter relationship, joyful"
516806,Last Sentinel,0,5.4,tt5153956,Last Sentinel,"Set in the future on a war-ravaged Earth, four exhausted soldiers man Sentinel - a remote military base in a vast ocean that separates two warring continents. While their tour of duty ended three months ago, the relief crew still hasn't arrived and as the empty weeks turn to months, paranoia descends, testing relationships to breaking point...",17.861,/pD1o9B0ibENdNroYrBCQemG2jnr.jpg,"Science Fiction, Thriller","dystopia, science fact, science fiction, colony sci-fi, military sci-fi, ambiguous"
1023922,MaXXXine,22057160,6.3,tt22048412,MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",17.78,/ArvoFK6nlouZRxYmtIOUzKIrg90.jpg,"Horror, Mystery, Crime","pornography, gore, sequel, murder, fame, slasher, hollywood, whodunit, los angeles, california, video store, horror filmmaking, stardom, murder mystery, 1980s, grim, film production, televangelist, film within a film, aspiring actress, pastiche, satanic panic, night stalker, father daughter estrangement, religious trauma, suspenseful, mystery, intense, excited"
954,Mission: Impossible,457696391,7.0,tt0117060,Mission: Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the prime suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",10.592,/l5uxY5m5OInWpcExIpKG6AR3rgL.jpg,"Adventure, Action, Thriller","mission, london, england, central intelligence agency (cia), computer, paris, france, undercover, espionage, secret mission, arms deal, spy, secret identity, headquarter, embassy, secret base, prague, czech republic, secret agent, tgv, terrorism, agent, based on tv series"
1087388,Sting,1090798,6.314,tt20112746,Sting,"After raising an unnervingly talented spider in secret, 12-year-old Charlotte must face the truth about her pet and fight for her family's survival.",10.538,/zuSAZIG1PSrxFwPeAlGtg9LTwxo.jpg,"Horror, Science Fiction, Thriller","spider, giant spider, meteor, alien, creature, corpse, apartment building, exterminator, creature feature, dollhouse, deadly creature, arachnophobia, mutant spider, pet owner, pet monster, poisonous spider, broken window, spider venom, deadly pet, pet spider, arachnid, air vent, crawling in air vent"
1262983,MadS,0,6.9,tt28821371,MadS,"A teenager stops off to see his dealer to test a new drug before heading off for a night of partying. On the way home, he picks up an injured woman and the night takes a surreal turn.",17.36,/3xgcQHcYxGOrJNbwgXRGPPHCXVu.jpg,"Horror, Thriller","drugs, sureal, teenager, intense"
1094274,Y2K,4210306,5.2,tt27218960,Y2K,Two high school nobodies make the decision to crash the last major celebration before the new millennium on New Year's Eve 1999. The night becomes even crazier than they could have ever dreamed when the clock strikes midnight.,10.405,/qndubIQalyxBJI5EBNZKGXEX74q.jpg,"Comedy, Horror, Science Fiction","new year's eve, y2k, nostalgic, 1990s, party, computers, new year's party"
1125899,Cleaner,0,7.3,tt27812086,Cleaner,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.",10.381,/mwzDApMZAGeYCEVjhegKvCzDX0W.jpg,"Action, Thriller",
1078600,Marked Men: Rule + Shaw,0,7.5,tt26452781,Marked Men: Rule + Shaw,"Shaw Landon has loved Rule Archer from the moment she laid eyes on him. Rule, a fiery-tempered rebel tattoo artist, doesn’t have time for a good girl pre-med student like Shaw — even if she’s the only one who can see the person he truly is. She lives by other people’s rules; he makes his own. But a short skirt, too many birthday cocktails, and spilled secrets lead to a night neither can forget. Now, Shaw and Rule must figure out how a girl like her and a guy like him are supposed to be together without destroying their love…or each other.",17.265,/1XaPBkYFr7OnPuD36Yer3ueFWrK.jpg,"Romance, Drama","based on novel or book, bad boy, romantic drama"
765897,The Unbreakable Boy,2500000,5.7,tt5181260,The Unbreakable Boy,"When Scott and Teresa LeRette learn that their son Austin is both autistic and has brittle bone disease, they initially worry for their son’s future. But with Scott’s growing faith and Austin’s incredible spirit, they become 'unbreakable', finding joy, gratitude, and courage even in the most trying times.",10.294,/1ICDosjDe6xaMlkUucEDXAvXFeP.jpg,"Drama, Family","sibling relationship, based on novel or book, autism, bullying, based on true story, alcoholism, coming of age, family drama, disability, junior high school, pre-teen, christian faith, autistic child, cliché, condescending, disrespectful"
413846,1992,2,6.9,tt4959750,1992,"In 1992, Mercer is desperately trying to rebuild his life and his relationship with his son amidst the turbulent Los Angeles uprising following the Rodney King verdict. Across town, another father and son put their own strained relationship to the test as they plot a dangerous heist to steal catalytic converters, which contain valuable platinum from the factory where Mercer works. As tensions rise and chaos erupts, both families reach their boiling points when their worlds collide.",17.095,/tPvFmQZM5HMspryyYbrtW02NR0G.jpg,"Crime, Thriller, Action","looting, race politics, street riots, based on true story, racial tension, 1990s, los angeles riots, racial injustice"
959098,Autumn and the Black Jaguar,21719459,6.552,tt16740144,Le Dernier Jaguar,"Growing up in the Amazon rainforest gave Autumn the rarest of friendships – a lost jaguar cub she named Hope. When a tragic event forces her to leave Hope for New York City, she dreams of going back to the rainforest and her friend. That opportunity soon comes when Autumn decides to return to the Amazon to save her beloved jaguar from animal traffickers who threaten her childhood village.",10.178,/krLaIUZezfBDBSdQA2ChVTg9t3Z.jpg,"Adventure, Family",
400155,Hotel Transylvania 3: Summer Vacation,528600000,6.855,tt5220122,Hotel Transylvania 3: Summer Vacation,"Dracula, Mavis, Johnny and the rest of the Drac Pack take a vacation on a luxury Monster Cruise Ship, where Dracula falls in love with the ship’s captain, Ericka, who’s secretly a descendant of Abraham Van Helsing, the notorious monster slayer.",10.175,/lzE5BwGQea1nek7TPXUuC5AZ6rq.jpg,"Animation, Comedy, Family, Fantasy","monster, vampire, vacation, cruise ship, summer vacation, dracula"
1016121,Beautiful Disaster,6850036,6.7,tt2316548,Beautiful Disaster,College freshman Abby tries to distance herself from her dark past while resisting her attraction to bad boy Travis.,10.126,/bwdLflvCcOCRPqb1x13KPuYIzVx.jpg,"Romance, Drama, Comedy","based on novel or book, bare knuckle boxing, underground fighting, young adult, based on young adult novel, independent film, provocative, romantic drama, pugilistic, romantic, amused"
1025596,Blood for Dust,0,5.8,tt10669888,Blood for Dust,"Reckless Ricky makes serious money dealing illegal weapons throughout the tri-state area and loves to flaunt it. Traveling salesman Cliff, covers the same territory Ricky runs guns through. Desperate to find some financial relief for his struggling family, Cliff agrees to partner with Ricky, to commit cross-state drug and gun deliveries for a mid-level American cartel boss John. When a simple exchange turns into a bloodbath after Ricky kills everyone in a territory grab, the pair find themselves in a pressure cooker situation where unlikely drug dealer Cliff must fight as hard as he can to stay alive.",10.056,/nvaCnkl8RilLhVAQXPFei0tqkqW.jpg,"Action, Crime, Thriller","winter, montana, idaho, motel, arms dealer, strip club, bag of money, shootout, traveling salesman, drug runner, 1990s, drug deal, criminals, violence"
1393382,Popeye's Revenge,0,6.0,tt33362807,Popeye's Revenge,The legend of Popeye haunts a group of councilors as they intend to open a summer camp.,10.045,/aHHCXbPjI6xHJoo5fkBNmPm2lo1.jpg,Horror,
